X,Y,OBJECTID,Siteno,Name,NZTM_E,NZTM_N,Region,Operator,Funder,Area_km2,No_years,L1_mean,L2,Lcv,T3_Lskew,T4_Lkurt,Gumb_u,Gumb_alpha,GEV_u,GEV_alpha,GEV_k,GEV_z,Data_2_33y,Data_5y,Data_10y,Data_20y,Data_50y,Data_100y,Data_250y,Data_500y,Data_1000y,se_2_33y,se_5y,se_10y,se_20y,se_50y,se_100y,se_250y,se_500y,se_1000y
1841868,5817036,42,9112,Waitoa at Waharoa Control,1841868,5817036,WRC,WRC,WRC,122.5,28,20.9914,5.4071,0.25759,0.21483,0.052597,16.4887,7.8009,16.2504,7.291,-0.06868,-0.48421,21.00220958,28.18958184,34.04359048,39.65889612,46.92733328,52.3740041,59.54543661,64.96042891,70.37150608,7%,7%,8%,9%,10%,11%,11%,12%,12%
1832432,5835628,43,9114,Waitoa at SH26,1832432,5835628,WRC,Hydrologic,Dairy Factories,248.7,9,29.9254,7.2529,0.24237,0.40136,0.43167,23.8856,10.4637,22.6314,6.8924,-0.33124,-1.324,29.93977454,39.58052204,47.4327686,54.96483203,64.71431554,72.02018146,81.63954824,88.90292233,96.16104488,8%,9%,11%,12%,13%,14%,14%,15%,15%
1821514,5845214,44,9140,Piako at Paeroa Tahuna Rd Br,1821514,5845214,WRC,WRC,WRC,534,62,98.5862,31.4734,0.31925,0.33844,0.19909,72.3769,45.4065,68.0247,34.1075,-0.24643,-2.59,98.64857029,140.483925,174.558204,207.2430706,249.5502777,281.2535759,322.9961504,354.5150582,386.0111774,5%,5%,5%,6%,6%,6%,6%,7%,7%
1829552,5824019,45,9175,Piako at Kiwitahi,1829552,5824019,WRC,WRC,WRC,105.3,31,37.2562,11.0657,0.29702,0.25565,0.12593,28.0413,15.9644,27.1654,13.9577,-0.12912,-0.95789,37.27811528,51.98694192,63.96706416,75.45868503,90.33340951,101.4799223,116.1561285,127.2378118,138.3114828,7%,7%,8%,9%,10%,10%,11%,11%,11%
1832321,5843131,46,9179,Waitoa at Mellon Rd,1832321,5843131,WRC,WRC,WRC,357,27,40.4794,12.0433,0.29752,0.31809,0.076917,30.4504,17.3748,28.9426,13.5763,-0.21822,-1.5108,40.50325624,56.51155728,69.55008224,82.05694841,98.24580379,110.3770728,126.3498715,138.4105835,150.4625754,7%,7%,8%,9%,9%,10%,10%,10%,11%
1834488,5862243,47,9203,Waihou at Puke Bridge,1834488,5862243,WRC,WRC,WRC,1606,19,449.5263,113.2865,0.25201,0.20624,0.053352,355.1874,163.4379,351.0915,154.8169,-0.055723,-0.32362,449.750659,600.3344416,722.9827102,840.6298741,992.9120602,1107.026129,1257.275955,1370.726323,1484.094663,9%,9%,10%,11%,13%,13%,14%,14%,15%
1836982,5859037,48,9204,Ohinemuri at Criterion Br,1836982,5859037,WRC,WRC,WRC,308,13,471.7692,75.1538,0.1593,-0.13939,0.041407,409.1852,108.4241,442.1238,146.8272,0.55168,2.6503,471.9181172,571.8148431,653.1792521,731.2259467,832.2493872,907.9522398,1007.62742,1082.889975,1158.098114,9%,11%,13%,15%,17%,19%,20%,21%,22%
1839127,5841042,49,9205,Waihou at Te Aroha Br,1839127,5841042,WRC,WRC,WRC,1137,49,191.9704,48.1383,0.25076,0.32311,0.24561,151.8834,69.4489,145.6967,53.7472,-0.22522,-2.1006,192.065722,256.0525821,308.1689355,358.1601928,422.8687477,471.3587036,535.2036573,583.4115895,631.5846667,4%,5%,5%,6%,6%,7%,7%,7%,7%
1840302,5855651,50,9213,Ohinemuri at Karangahake,1840302,5855651,WRC,WRC,WRC,287,57,449.3215,116.0414,0.25826,0.1135,0.10481,352.6884,167.4123,359.7592,180.7182,0.089792,0.90325,449.5512004,603.796803,729.4275701,849.9356181,1005.920925,1122.809962,1276.713488,1392.922683,1509.047858,6%,6%,7%,7%,8%,9%,9%,9%,10%
1844646,5831847,51,9223,Waihou at Shaftesbury,1844646,5831847,WRC,WRC,WRC,969,24,143.966,23.0317,0.15998,-0.018975,0.19825,124.7865,33.2277,130.2688,41.384,0.31816,2.0767,144.0116589,174.6260559,199.5610304,223.4792567,254.4389471,277.6388785,308.1853805,331.2503781,354.2986993,6%,7%,9%,10%,12%,12%,13%,14%,15%
1849977,5814047,52,9224,Waihou at Okauia,1849977,5814047,WRC,WRC,WRC,816,31,122.7122,17.837,0.14536,0.14642,0.086933,107.8584,25.7334,108.2862,26.5967,0.03692,0.27389,122.7474445,146.4569557,165.7680026,184.2916224,208.2685483,226.2358801,249.8928096,267.7556412,285.6055576,4%,5%,6%,7%,8%,9%,9%,10%,10%
1847032,5839455,53,9228,Waiorongomai at Old Quarry,1847032,5839455,WRC,NIWA,MBIE,7.9,24,37.2713,16.3047,0.43746,0.50726,0.32856,23.6937,23.5227,20.2247,11.9736,-0.46643,-3.0445,37.30365934,58.97633833,76.62841553,93.56071178,115.4778325,131.9016302,153.5262447,169.8545196,186.1709888,7%,6%,7%,7%,7%,8%,8%,8%,8%
1850514,5789234,54,1009208,Waimakariri at Waimakariri Rd,1850514,5789234,WRC,WRC,WRC,77,9,15.7263,7.1689,0.45585,0.77511,0.73782,9.7564,10.3426,8.1312,1.9464,-0.77306,-3.09,15.7405075,25.26967931,33.03104912,40.47594138,50.11259076,57.33390339,66.84194193,74.02125449,81.19537629,5%,4%,4%,4%,5%,5%,5%,5%,5%
1846121,5783025,55,1009213,Oraka at Pinedale,1846121,5783025,WRC,WRC,WRC,136,34,14.7021,3.7203,0.25304,0.33782,0.19293,11.6041,5.3673,11.0911,4.0366,-0.24558,-1.9079,14.70955706,19.65472789,23.68249656,27.54602896,32.54697536,36.29448094,41.22868465,44.95439427,48.67741014,5%,5%,6%,7%,7%,8%,8%,8%,9%
1851749,5856906,56,1009216,Ohinemuri at Waihi,1851749,5856906,WRC,WRC,WRC,73,11,138.4583,64.1292,0.46317,0.42062,0.40088,85.0549,92.5189,73.3935,58.3627,-0.3565,-1.5754,138.5852544,223.8276976,293.2564097,359.8540972,446.0579725,510.6556463,595.7090436,659.9310091,724.1065411,14%,12%,13%,14%,14%,14%,15%,15%,15%
1856065,5788985,57,1009230,Kuhatahi at Weir,1856065,5788985,WRC,WRC,WRC,16.1,8,1.3815,0.25725,0.18621,-0.0063862,0.31556,1.1673,0.37113,1.2237,0.45701,0.29528,1.1128,1.382031481,1.723972727,2.002478826,2.269628563,2.615426494,2.874553383,3.21573629,3.473356064,3.730789574,13%,15%,18%,20%,23%,24%,26%,27%,28%
1847306,5855463,58,1009235,Ohinemuri at Queens Head Rock,1847306,5855463,WRC,WRC,WRC,134.6,29,199.8529,55.3547,0.27698,0.10958,0.11279,153.7564,79.86,157.3832,86.6365,0.096183,0.69012,199.9624628,273.5416073,333.4707348,390.9561926,465.3652212,521.1243173,594.5402821,649.9750761,705.3697899,9%,9%,10%,11%,12%,13%,13%,14%,14%
1829945,5884442,59,9301,Kauaeranga at Smiths,1829945,5884442,WRC,WRC,WRC,122,54,491.5884,126.1576,0.25663,0.12078,0.087057,386.5311,182.007,393.157,194.6451,0.077976,0.76346,491.8382233,659.5306772,796.1137061,927.1274267,1096.711249,1223.79046,1391.111015,1517.451117,1643.699874,6%,6%,7%,8%,8%,9%,9%,10%,10%
1822903,5904234,60,9701,Tapu at Tapu-Coroglen Rd,1822903,5904234,WRC,WRC,WRC,26.4,22,65.2746,17.153,0.26278,0.35313,0.44049,50.9905,24.7466,48.4667,18.0509,-0.26654,-1.6657,65.30859357,88.10891488,106.6794401,124.4927337,147.5502152,164.8285529,187.5783089,204.7561535,221.9215783,6%,7%,8%,8%,9%,10%,10%,10%,11%
1832358,5926760,61,11310,Opitonui at Dstm Awaroa Confluence,1832358,5926760,WRC,WRC,WRC,29,21,132.1378,38.6281,0.29233,-0.14429,-0.08888,99.9703,55.7286,117.2448,75.6488,0.56181,3.4303,132.2142167,183.5598555,225.3801206,265.495123,317.4198787,356.3301762,407.5619435,446.2459338,484.9019549,13%,14%,15%,17%,18%,19%,20%,21%,21%
1830677,5917754,62,11605,Mahikarau at E309 Rd,1830677,5917754,WRC,WRC,WRC,20.5,11,62.4286,22.125,0.35441,0.39707,0.22361,44.0041,31.9197,40.2245,21.2248,-0.32556,-1.4387,62.47246541,91.8817344,115.83515,138.8118413,168.5528114,190.8394833,220.18353,242.3405798,264.4816097,11%,11%,12%,13%,14%,14%,15%,15%,15%
1838098,5908767,63,11807,Waiwawa at Rangihau Rd,1838098,5908767,WRC,WRC,WRC,120,21,331.0773,53.5686,0.1618,0.065436,-0.03047,286.4683,77.2831,292.8915,88.3925,0.16962,1.0357,331.1833985,402.388312,460.3836632,516.0141965,588.0222155,641.9820927,713.0290918,766.6751316,820.2823843,6%,7%,9%,10%,11%,12%,13%,14%,15%
